10		  0.051	 0.011	0.009
20		  0.128	 0.087	0.086
25		  0.967	 0.842	0.857
27		  2.441	 2.165	2.443
29		  6.317	 5.684	5.984
30		  10.11	 9.738	9.238
31		  16.333	 14.846	14.914
32		  26.671	 23.966	23.972
33		  42.911	 38.711	38.742
35		  112.89	 101.23	101.49
